Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Muller, Miltón",VOL,Aldosivi de MdP,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rivero, Martín",VOL,Aldosivi de MdP,800000,0,5,0,0,0,0,0,6,5,5,5,0,0,5,0,5.0,26.0,5.2,6.0,31.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Seccafién, Enrique",VOL,Aldosivi de MdP,3100000,5,5,4,6,5,0,0,0,0,5,3,3,0,0,0,6.0,26.0,4.33,8.0,36.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Toro, Brian",VOL,Aldosivi de MdP,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carranza, César",DEL,Aldosivi de MdP,3600000,6,5,2,5,0,0,0,0,0,0,0,3,0,0,0,3.0,10.0,3.33,5.0,21.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Dip, Daniel",DEL,Aldosivi de MdP,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ftacla, Diego",DEL,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lagos, Diego",DEL,Aldosivi de MdP,3000000,0,5,0,0,0,5,17,5,2,12,0,0,6,3,3,8.0,53.0,6.63,9.0,58.0,6.44,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
"Lugüercio, Pablo",DEL,Aldosivi de MdP,3400000,2,5,5,5,6,8,5,15,5,5,12,3,7,5,4,13.0,85.0,6.54,15.0,92.0,6.13,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
"Martínez, Roger",DEL,Aldosivi de MdP,1800000,5,5,17,13,11,14,5,9,1,8,6,6,11,0,3,12.0,104.0,8.67,14.0,114.0,8.14,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
"Menseguez, Juan Carlos",DEL,Aldosivi de MdP,2800000,0,0,0,5,0,0,0,0,4,0,0,5,0,0,0,3.0,14.0,4.67,3.0,14.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Miracco, Nicolás",DEL,Aldosivi de MdP,2800000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rosales, Santiago",DEL,Aldosivi de MdP,400000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sand, José Gustavo",DEL,Aldosivi de MdP,4000000,0,5,11,3,3,6,5,3,11,9,11,5,5,6,12,13.0,90.0,6.92,14.0,95.0,6.79,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
"Vildozo, Angel",DEL,Aldosivi de MdP,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Gabbarini, Adrián",ARQ,Argentinos Juniors,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Giovini, Sebastián",ARQ,Argentinos Juniors,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ojeda, Luis",ARQ,Argentinos Juniors,3000000,7,3,10,14,3,0,4,15,2,16,4,8,5,9,3,13.0,93.0,7.15,15.0,103.0,6.87,0.0,0.0,0.0,0.0,14.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0
"Almandoz, Mariano",DEF,Argentinos Juniors,2400000,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,3.0,15.0,5.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Alvarez, Cristian",DEF,Argentinos Juniors,3400000,0,0,7,0,9,4,7,0,5,6,0,0,0,0,0,6.0,38.0,6.33,6.0,38.0,6.33,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0
"Batista, Nicolás",DEF,Argentinos Juniors,3300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flores, Franco",DEF,Argentinos Juniors,2800000,8,0,0,0,0,3,5,8,5,8,5,2,0,5,2,9.0,43.0,4.78,10.0,51.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0
"Freire, Nicolás",DEF,Argentinos Juniors,2600000,7,2,7,8,4,1,5,7,0,0,0,0,0,0,0,6.0,32.0,5.33,8.0,41.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
"Garré, Ezequiel",DEF,Argentinos Juniors,2500000,8,4,8,0,10,0,6,7,5,7,5,8,6,7,2,11.0,71.0,6.45,13.0,83.0,6.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0
"Laso, Joaquín",DEF,Argentinos Juniors,1300000,0,0,0,0,0,0,0,0,0,0,6,0,6,5,-1,4.0,16.0,4.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"Lemos, Juan Pablo",DEF,Argentinos Juniors,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Matricardi, Patricio",DEF,Argentinos Juniors,1500000,7,4,7,8,5,4,5,4,1,3,0,5,6,7,2,12.0,57.0,4.75,14.0,68.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0
"Rodríguez, Lucas",DEF,Argentinos Juniors,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sabia, Juan Alberto",DEF,Argentinos Juniors,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Torrén, Miguel Angel",DEF,Argentinos Juniors,3500000,0,3,7,8,5,0,0,9,2,6,3,7,0,0,0,8.0,47.0,5.88,9.0,50.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
"Agüero, Emiliano",VOL,Argentinos Juniors,500000,5,0,0,5,0,4,3,5,5,0,0,0,0,0,0,5.0,22.0,4.4,6.0,27.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Alaniz, Martín",VOL,Argentinos Juniors,500000,4,5,0,0,0,0,5,0,0,5,5,4,0,0,0,4.0,19.0,4.75,6.0,28.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Basualdo, Germán",VOL,Argentinos Juniors,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cabral, Luciano",VOL,Argentinos Juniors,1300000,0,0,0,5,0,4,0,0,0,0,6,0,18,5,5,6.0,43.0,7.17,6.0,43.0,7.17,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Gallego, Federico",VOL,Argentinos Juniors,1200000,6,6,11,5,6,4,6,4,5,5,6,5,3,0,4,12.0,64.0,5.33,14.0,76.0,5.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"García, Matías",VOL,Argentinos Juniors,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Giménez, Matías",VOL,Argentinos Juniors,3000000,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,3.0,13.0,4.33,3.0,13.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ham, Ezequiel",VOL,Argentinos Juniors,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iñiguez, Gaspar",VOL,Argentinos Juniors,3000000,11,5,7,6,7,4,0,0,0,6,2,4,6,5,5,10.0,52.0,5.2,12.0,68.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
"Ledesma, Cristian",VOL,Argentinos Juniors,4500000,0,3,12,0,4,0,0,0,4,7,2,0,6,6,6,8.0,47.0,5.88,9.0,50.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
"Ramírez, Juan",VOL,Argentinos Juniors,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trovento, Emiliano",VOL,Argentinos Juniors,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zapata, Martín",VOL,Argentinos Juniors,3800000,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,3.0,13.0,4.33,3.0,13.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Cano, Lucas",DEL,Argentinos Juniors,3100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Castillejos, Gonzalo",DEL,Argentinos Juniors,3900000,4,3,0,0,0,4,0,0,0,0,0,10,0,4,5,4.0,23.0,5.75,6.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Franzoia, Andrés",DEL,Argentinos Juniors,3800000,9,3,5,4,10,0,0,6,4,5,0,0,0,0,4,7.0,38.0,5.43,9.0,50.0,5.56,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lenis, Reinaldo",DEL,Argentinos Juniors,3300000,6,4,8,4,4,4,6,6,4,6,4,5,5,0,0,11.0,56.0,5.09,13.0,66.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Rinaldi, Lautaro",DEL,Argentinos Juniors,1500000,5,6,4,5,5,2,9,6,10,0,5,4,11,0,4,11.0,65.0,5.91,13.0,76.0,5.85,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Rodríguez, Jonathan",DEL,Argentinos Juniors,800000,0,0,0,0,6,0,5,13,6,5,4,5,5,4,4,10.0,57.0,5.7,10.0,57.0,5.7,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Andrada, Esteban",ARQ,Arsenal FC,2500000,4,1,5,9,-1,0,0,0,9,2,4,3,5,14,6,10.0,56.0,5.6,12.0,61.0,5.08,0.0,0.0,0.0,0.0,12.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0
"Limia, Oscar Alejandro",ARQ,Arsenal FC,3200000,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3.0,7.0,2.33,3.0,7.0,2.33,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Marussi, Alan",ARQ,Arsenal FC,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Correa, Nicolás",DEF,Arsenal FC,2500000,6,6,4,7,5,3,0,0,0,0,0,0,0,0,0,5.0,19.0,3.8,7.0,31.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Curado, Marcos",DEF,Arsenal FC,400000,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3.0,17.0,5.67,3.0,17.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
"Curbelo, Jorge",DEF,Arsenal FC,3300000,5,3,5,7,4,0,4,5,5,3,4,4,2,0,5,11.0,48.0,4.36,13.0,56.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0
"Pérez, Damián",DEF,Arsenal FC,3400000,5,3,5,8,14,4,5,5,0,0,3,4,5,5,7,11.0,65.0,5.91,13.0,73.0,5.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
"Rosero Valencia, Dany",DEF,Arsenal FC,2700000,0,6,4,5,5,0,0,0,0,0,1,0,0,7,5,7.0,27.0,3.86,8.0,33.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
"San Román, José",DEF,Arsenal FC,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sarulyte, Matías",DEF,Arsenal FC,3500000,0,0,0,0,0,1,5,0,0,0,0,6,15,8,8,6.0,43.0,7.17,6.0,43.0,7.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
"Varga, Iván",DEF,Arsenal FC,1200000,4,0,0,0,0,3,4,5,7,4,5,0,0,0,0,6.0,28.0,4.67,7.0,32.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Zaldivia, Matías",DEF,Arsenal FC,2600000,6,4,0,7,4,1,0,5,8,3,5,0,0,0,0,7.0,33.0,4.71,9.0,43.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
"Bareiro, Ezequiel",VOL,Arsenal FC,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Campos Toro, Matías",VOL,Arsenal FC,2300000,0,0,4,4,5,5,5,3,6,0,0,5,0,0,0,8.0,37.0,4.63,8.0,37.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Cardozo, Julián",VOL,Arsenal FC,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carrera, Ramiro",VOL,Arsenal FC,2300000,6,3,12,3,24,4,6,0,0,6,5,1,2,0,4,11.0,67.0,6.09,13.0,76.0,5.85,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0
"Chávez, Cristian",VOL,Arsenal FC,4500000,3,5,0,0,0,5,0,3,6,2,0,5,5,0,0,6.0,26.0,4.33,8.0,34.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Esmerado, Gastón",VOL,Arsenal FC,1800000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flores, Gabriel",VOL,Arsenal FC,300000,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fredes, Hernán",VOL,Arsenal FC,3800000,0,6,4,5,0,0,6,0,0,0,3,0,0,0,5,5.0,23.0,4.6,6.0,29.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Giménez, Gonzalo",VOL,Arsenal FC,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Godoy, Leandro",VOL,Arsenal FC,500000,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,3.0,12.0,4.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Marcone, Iván",VOL,Arsenal FC,3500000,5,6,5,10,5,4,5,3,4,3,3,4,5,5,6,13.0,62.0,4.77,15.0,73.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
"Milo, Federico",VOL,Arsenal FC,900000,0,0,0,0,5,0,0,0,7,2,0,0,5,4,0,5.0,23.0,4.6,5.0,23.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ruiz, Ezequiel",VOL,Arsenal FC,300000,0,0,0,0,0,0,0,0,12,4,4,0,0,0,0,3.0,20.0,6.67,3.0,20.0,6.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zaldívar, Matías",VOL,Arsenal FC,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Burzio, Pablo",DEL,Arsenal FC,2600000,0,7,6,3,6,5,5,4,6,5,0,4,0,5,0,10.0,49.0,4.9,11.0,56.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ciaccheri, Esteban",DEL,Arsenal FC,1400000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Costa, Franco",DEL,Arsenal FC,400000,0,0,0,0,0,0,0,5,0,0,0,4,0,5,0,3.0,14.0,4.67,3.0,14.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Herrera, Maximiliano",DEL,Arsenal FC,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Muñoz, Fabián",DEL,Arsenal FC,3400000,4,5,5,4,6,5,0,0,5,4,0,0,4,5,4,9.0,42.0,4.67,11.0,51.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pugh, Lucas",DEL,Arsenal FC,500000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rasic, Federico",DEL,Arsenal FC,3500000,5,3,0,0,0,0,0,0,0,0,0,0,4,10,4,3.0,18.0,6.0,5.0,26.0,5.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Silva, Santiago",DEL,Arsenal FC,5000000,12,3,2,0,0,5,6,10,20,6,5,3,5,4,0,10.0,66.0,6.6,12.0,81.0,6.75,4.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
"Zelaya, Emilio",DEL,Arsenal FC,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Conde, Esteban",ARQ,Atlético de Rafaela,3600000,3,-1,5,5,3,0,0,0,0,3,4,5,3,-1,9,9.0,36.0,4.0,11.0,38.0,3.45,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"De Giorgi, Carlos",ARQ,Atlético de Rafaela,2200000,0,0,0,0,0,10,15,6,4,0,0,0,0,0,0,4.0,35.0,8.75,4.0,35.0,8.75,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
